Item Name,Unit Price,Item Serving Size,Description
Avocado Chaat,220,1 bowl,Traditional Indian street food chaat made with ripe avocados topped with spicy and tangy chutneys
Quinoa Bhel,180,1 bowl,Healthy twist on puffed rice bhel using quinoa with traditional Indian spices and vegetables
Paneer Tikka Tacos,250,2 pieces,Mexican tacos filled with Indian-style grilled cottage cheese and vegetables
Kale and Spinach Pakoras,160,1 plate,Crispy fritters made with kale and spinach in chickpea flour batter
Tandoori Paneer Wrap,210,1 wrap,Grilled cottage cheese with tandoori spices wrapped in flatbread
Vegan Butter Masala,230,1 bowl,Plant-based version of butter masala curry using dairy-free ingredients
Jackfruit Biryani,240,1 plate,Aromatic rice dish with young jackfruit as meat alternative
Tofu Kathi Roll,180,1 roll,Indian street-style roll with spiced tofu and vegetables
Whole Wheat Naan Pizza,280,1 piece,Indian flatbread topped with pizza ingredients and Indian spices
Mango Chia Smoothie Bowl,250,1 bowl,Thick smoothie bowl with mango puree and chia seeds
Masala Hummus with Lavash,200,1 plate,Middle Eastern hummus with Indian spices served with flatbread
Stuffed Bajra Paratha,140,1 piece,Millet flour flatbread stuffed with spiced potatoes
Beetroot Falafel,180,1 plate,Middle Eastern chickpea fritters with beetroot
Moringa Soup,120,1 bowl,Healthy soup made with nutrient-rich moringa leaves
Matcha Lassi,150,250 ml,Indian yogurt drink blended with Japanese green tea powder
Turmeric Latte,160,250 ml,Golden milk made with turmeric and warming spices
Cold Brew Coffee,180,250 ml,Slow-steeped cold coffee
Rose Lemonade,120,300 ml,Fresh lemonade infused with rose water
Charcoal Detox Cooler,150,300 ml,Activated charcoal beverage with citrus and mint
Chai-Spiced Hot Chocolate,170,250 ml,Hot chocolate flavored with Indian chai spices
Chocolate Samosa with Ice Cream,190,2 pieces,Crispy pastry filled with chocolate served with ice cream
Vegan Cheesecake,280,1 slice,Dairy-free cheesecake made with nuts and plant-based ingredients
Ragi Brownies,150,2 pieces,Chocolate brownies made with nutritious finger millet flour
Gulkand Pancakes,220,1 plate,Fluffy pancakes flavored with rose petal preserve
